AFAIK,As Far As I Know
AFK,Away From Keyboard
ASAP,As Soon As Possible
ATK,At The Keyboard
ATM,At The Moment
A3,Anytime Anywhere Anyplace
BAK,Back At Keyboard
BBL,Be Back Later
BBS,Be Back Soon
BFN,Bye For Now
B4N,Bye For Now
BRB,Be Right Back
BRT,Be Right There
BTW,By The Way
B4,Before
B4N,Bye For Now
CU,See You
CUL8R,See You Later
CYA,See You
FAQ,Frequently Asked Questions
FC,Fingers Crossed
FWIW,For What It's Worth
FYI,For Your Information
GAL,Get A Life
GG,Good Game
GN,Good Night
GMTA,Great Minds Think Alike
GR8,Great!
GTG,Got To Go
G2G,Got To Go
G9,Genius
IC,I See
ICQ,I Seek you (also a chat program)
ILU,ILU: I Love You
IMHO,In My Honest/Humble Opinion
IMO,In My Opinion
IOW,In Other Words
IRL,In Real Life
LDR,Long Distance Relationship
LMAO,Laugh My Ass Off
LOL,Laughing Out Loud
LTNS,Long Time No See
L8R,Later
MTE,My Thoughts Exactly
M8,Mate
NRN,No Reply Necessary
OIC,Oh I See
PITA,Pain In The Ass
PRT,Party
PRW,Parents Are Watching
QPSA,Que Pasa?
ROFL,Rolling On The Floor Laughing
ROFLOL,Rolling On The Floor Laughing Out Loud
ROTFLMAO,Rolling On The Floor Laughing My Ass Off
SK8,Skate
STATS,Your sex and age
ASL,Age, Sex, Location
THX,Thank You
TTFN,Ta-Ta For Now!
TTYL,Talk To You Later
U,You
U2,You Too
U4E,Yours For Ever
WB,Welcome Back
WTF,What The Fuck
WTH,What The Heck
WTG,Way To Go!
WUF,Where Are You From?
W8,Wait
7K,Sick:-D Laugher
2moro,Tomorrow
2nte,Tonight
AEAP,As Early as Possible
ALAP,As Late as Possible
ASAP,As Soon as Possible
B3,Blah Blah Blah
B4YKI,Before You Know it
BFF,Best Friends Forever
BM&Y,Between Me and You
BRB,Be right Back
BRT,Be right There
BTAM,Be that as it May
C-P,Sleepy
CTN,Cannot talk now
CUS,See You Soon
CWOT,Complete Waste of Time
CYT,See You Tomorrow
AF,As Fuck
EM?,Excuse Me?
EOD,End of Day
F2F,Face to Face
FC,Fingers Crossed
FOAF,Friend of a Friend
GR8,Great
HAK,Hugs and Kisses
IDC,I Don't Care
IDK,I Don't Know
ILU / ILY,I Love You
IMU,I Miss You
IRL,In Real Life
J/K,Just Kidding
JC,Just Checking
JTLYK,Just to Let You Know
KFY,Kiss for You
KMN,Kill Me Now
L8R,Later
MTFBWY,May the Force be with You
MYOB,Mind Your Own Business
N-A-Y-L,In a While
NC,No Comment
NIMBY,Not in my Backyard
NM,Never Mind
NP,No Problem
NSFW,Not Safe for Work
NTIM,Not that it Matters
NVM,Never Mind
OATUS,On a totally Unrelated Subject
OIC,Oh I See
OMW,On My Way
OTL,Out to Lunch
P911,Parent Alert
PIR,Parent in Room
QT,Cutie
RN,Right Now
RU,Are You
SEP,Someone else's Problem
SITD,Still in the Dark
SLAP,Sounds like a Plan
SMIM,Send Me an Instant Message
SO,Significant Other
TMI,Too Much Information
UR,Your
W8,Wait
WB,Welcome Back
WYCM,Will You Call Me?
WYWH,Wish You Were Here
XOXO,Kisses
N00B,Newbie
NOOB,Newbie
ABT,About
4EVER,Forever
FUK,Fuck
AKA,Also Known As
GF,Girlfriend
BF,Boyfriend
TNX,Thanks
FR,For
TYM,Time
PROB,Problem
